time	V(compout)
2.429217781192027e-06	1.417126e-01
2.440932066906314e-06	1.417126e-01
2.457646352620601e-06	1.417126e-01
2.474360638334888e-06	1.417126e-01
2.491074924049175e-06	1.417126e-01
2.507789209763462e-06	1.417127e-01
2.524503495477749e-06	1.417127e-01
2.541217781192036e-06	1.417127e-01
2.557932066906323e-06	1.417127e-01
2.578646352620610e-06	1.417127e-01
2.599360638334898e-06	1.417127e-01
2.620074924049185e-06	1.417127e-01
2.640789209763472e-06	1.417127e-01
2.661503495477759e-06	1.417127e-01
2.682217781192046e-06	1.417127e-01
2.702932066906334e-06	1.417127e-01
2.703932066906334e-06	1.417127e-01
2.723074924049193e-06	1.417127e-01
2.742217781192051e-06	1.417127e-01
2.761360638334910e-06	1.417127e-01
2.780503495477768e-06	1.417127e-01
2.799646352620627e-06	1.417127e-01
2.818789209763485e-06	1.417127e-01
2.837932066906344e-06	1.417127e-01
2.861180771634009e-06	1.417127e-01
2.884429476361674e-06	1.417127e-01
2.907678181089340e-06	1.417127e-01
2.930926885817005e-06	1.417127e-01
2.954175590544670e-06	1.417127e-01
2.977424295272335e-06	1.417127e-01
3.000673000000000e-06	1.417127e-01
3.000673750000000e-06	1.417127e-01
3.000675250000000e-06	1.417127e-01
3.000678250000000e-06	1.417127e-01
3.000680500000000e-06	1.417127e-01
3.000680750000000e-06	1.417127e-01
3.000681250000000e-06	1.417127e-01
3.000682250000000e-06	1.417127e-01
3.000683000000000e-06	1.417127e-01
3.000683200000000e-06	1.417127e-01
3.000683600000000e-06	1.417127e-01
3.000684400000000e-06	1.417127e-01
3.000686000000000e-06	1.417127e-01
3.000687400000000e-06	1.417127e-01
3.000688360000000e-06	1.417127e-01
3.000689640000000e-06	1.417127e-01
3.000692200000000e-06	1.417127e-01
3.000693000000000e-06	1.417127e-01
3.000693440000000e-06	1.417127e-01
3.000694320000000e-06	1.417127e-01
3.000696080000000e-06	1.417127e-01
3.000697400000000e-06	1.417127e-01
3.000697752000000e-06	1.417127e-01
3.000698456000000e-06	1.417127e-01
3.000699864000000e-06	1.417127e-01
3.000702680000000e-06	1.417127e-01
3.000707400000000e-06	1.417127e-01
3.000709089600000e-06	1.417127e-01
3.000711342400000e-06	1.417127e-01
3.000715848000001e-06	1.417127e-01
3.000724859200001e-06	1.417127e-01
3.000737146135390e-06	1.417128e-01
3.000750195389262e-06	1.417129e-01
3.000766224208170e-06	1.417131e-01
3.000776800000000e-06	1.417132e-01
3.000777440000000e-06	1.417133e-01
3.000778720000000e-06	1.417133e-01
3.000781280000000e-06	1.417133e-01
3.000783200000000e-06	1.417134e-01
3.000783560000000e-06	1.417134e-01
3.000784280000000e-06	1.417134e-01
3.000785720000000e-06	1.417134e-01
3.000786800000000e-06	1.417134e-01
3.000787088000000e-06	1.417134e-01
3.000787664000000e-06	1.417134e-01
3.000788816000000e-06	1.417135e-01
3.000791120000000e-06	1.417135e-01
3.000793200000000e-06	1.417135e-01
3.000794582400000e-06	1.417136e-01
3.000796425600000e-06	1.417136e-01
3.000800112000000e-06	1.417137e-01
3.000807484800000e-06	1.417139e-01
3.000809500000000e-06	1.417139e-01
3.000810073550949e-06	1.417139e-01
3.000811220652848e-06	1.417139e-01
3.000813514856644e-06	1.417140e-01
3.000817359989529e-06	1.417141e-01
3.000819500000000e-06	1.417142e-01
3.000820091376438e-06	1.417142e-01
3.000821274129313e-06	1.417142e-01
3.000823602428677e-06	1.417143e-01
3.000825983117085e-06	1.417143e-01
3.000829500000000e-06	1.417144e-01
3.000830928413045e-06	1.417145e-01
3.000832832963771e-06	1.417145e-01
3.000836642065223e-06	1.417147e-01
3.000844260268128e-06	1.417149e-01
3.000855056772715e-06	1.417153e-01
3.000866901574943e-06	1.417157e-01
3.000881235293637e-06	1.417163e-01
3.000898169436034e-06	1.417170e-01
3.000920584326115e-06	1.417181e-01
3.000949691419892e-06	1.417198e-01
3.000992605496098e-06	1.417227e-01
3.001059815189088e-06	1.417287e-01
3.001194234575068e-06	1.417478e-01
3.001405096939234e-06	1.418150e-01
3.001614110636707e-06	1.419821e-01
3.001885298957550e-06	1.423929e-01
3.002126480295992e-06	1.429805e-01
3.002382162074610e-06	1.471912e-01
3.002503455260287e-06	1.600561e-01
3.002604594300206e-06	1.913427e-01
3.002723539535983e-06	2.607900e-01
3.002877782082194e-06	4.047395e-01
3.003095597045994e-06	6.911181e-01
3.003263200115863e-06	9.641119e-01
3.003425486224421e-06	1.241873e+00
3.003582301317762e-06	1.454578e+00
3.003756227493978e-06	1.553245e+00
3.003941580133516e-06	1.476440e+00
3.004137714889817e-06	1.233670e+00
3.004307336061113e-06	9.432778e-01
3.004464637286488e-06	6.558506e-01
3.004604114966366e-06	4.263016e-01
3.004717294459197e-06	2.849036e-01
3.004824617353395e-06	2.045118e-01
3.004938013847094e-06	1.643448e-01
3.005006039601694e-06	1.546221e-01
3.005095307866986e-06	1.497518e-01
3.005187913527562e-06	1.473613e-01
3.005352241584218e-06	1.454705e-01
3.005543358186293e-06	1.442896e-01
3.005729977296761e-06	1.435730e-01
3.005936764116828e-06	1.430341e-01
3.006350337756963e-06	1.422976e-01
3.006633004450450e-06	1.419753e-01
3.006957592083990e-06	1.418044e-01
3.007296817632612e-06	1.417469e-01
3.007685782819792e-06	1.417279e-01
3.008169603481836e-06	1.417166e-01
3.008797720199050e-06	1.417103e-01
3.009552887549953e-06	1.417075e-01
3.010348877057362e-06	1.417072e-01
3.011228006381779e-06	1.417074e-01
3.012036876331320e-06	1.417077e-01
3.013028991073730e-06	1.417078e-01
3.014028991073730e-06	1.417079e-01
3.015028991073730e-06	1.417081e-01
3.016028991073730e-06	1.417083e-01
3.017021668408363e-06	1.417085e-01
3.017955877677324e-06	1.417087e-01
3.018899348245960e-06	1.417090e-01
3.019876042018452e-06	1.417093e-01
3.020876042018452e-06	1.417096e-01
3.021876042018452e-06	1.417099e-01
